Location,Time,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,Births,Deaths,MedianAgePop,PopGrowthRate,NetMigrations,TFR,LEx,LExMale,LExFemale,LE15,LE65,CBR,CDR,PopSexRatio,InfantDeaths,Under5Deaths,PopChange,LE65Male,LE65Female,LE15Male,LE15Female,NatChange,PopDensity
India,1990,864972.222,447021.579,417950.642,28171.519,9277.646,19.6865,2.199,125.514,4.0446,58.6184,57.9627,59.3576,53.3161,12.594,32.569,10.726,106.9556,2579.906,3548.734,19019.375,11.5895,13.6617,51.9923,54.8103,18893.873,290.924
India,1991,883927.6,456777.992,427149.608,28305.721,9256.426,19.7952,2.137,-157.911,3.9594,59.0324,58.3401,59.805,53.4766,12.6806,32.023,10.472,106.9363,2526.168,3460.706,18891.383,11.6719,13.7434,52.1314,54.9863,19049.295,297.2994
India,1992,902957.07,466595.27,436361.801,28365.203,9232.807,19.9141,2.123,35.155,3.8774,59.445,58.728,60.236,53.6369,12.7728,31.414,10.225,106.9285,2470.514,3370.192,19167.556,11.7732,13.815,52.2841,55.1447,19132.396,303.6998
India,1993,922118.387,476502.894,445615.493,28374.418,9221.706,20.0464,2.077,2.364,3.7986,59.823,59.0945,60.6167,53.774,12.8638,30.771,10.001,106.9314,2411.098,3278.636,19155.078,11.8875,13.8701,52.4278,55.2631,19152.712,310.1445
India,1994,941163.767,486384.161,454779.606,28512.692,9201.756,20.1862,2.012,-375.253,3.7232,60.2372,59.4915,61.0406,53.9334,12.9628,30.295,9.777,106.9494,2356.094,3188.404,18935.683,12.0175,13.9256,52.5895,55.4098,19310.936,316.5502
India,1995,960301.044,496344.7,463956.344,28588.052,9191.888,20.3351,2.014,-57.297,3.6511,60.6295,59.868,61.4421,54.0762,13.0606,29.77,9.572,106.9809,2300.14,3098.795,19338.869,12.1517,13.9756,52.7358,55.5398,19396.164,322.9868
India,1996,979678.458,506445.347,473233.112,28623.284,9180.936,20.4932,1.982,-26.388,3.5816,61.0269,60.2443,61.8577,54.2242,13.1606,29.217,9.371,107.0182,2239.866,3005.868,19415.961,12.288,14.0297,52.8819,55.6832,19442.348,329.5042
India,1997,999133.762,516593.457,482540.305,28659.995,9166.221,20.659,1.951,0.88,3.5136,61.4393,60.6228,62.3004,54.3831,13.2622,28.685,9.174,107.0571,2177.538,2910.483,19494.645,12.4204,14.0931,53.0282,55.8519,19493.774,336.0477
India,1998,1018665.08,526785.191,491879.889,28724.933,9155.892,20.8327,1.921,-1.049,3.4462,61.8525,60.9903,62.7594,54.5467,13.3632,28.199,8.988,107.0963,2115.796,2816.65,19567.992,12.5427,14.1674,53.1666,56.0418,19569.041,342.6169
India,1999,1038225.823,536988.171,501237.652,28790.31,9141.49,21.0125,1.883,-95.32,3.3831,62.2837,61.3672,63.248,54.7267,13.4647,27.73,8.805,107.1324,2053.229,2721.963,19553.494,12.6573,14.252,53.3125,56.2592,19648.82,349.1959
India,2000,1057922.733,547253.435,510669.298,29111.712,9127.431,21.1915,1.875,-143.96,3.3498,62.7492,61.7597,63.7937,54.9251,13.5628,27.518,8.628,107.164,2001.485,2636.156,19840.326,12.7602,14.3429,53.4577,56.5185,19984.281,355.8208
India,2001,1077898.575,557645.081,520253.493,29324.93,9143.233,21.3734,1.866,-70.346,3.3028,63.1581,62.102,64.2771,55.0887,13.6445,27.206,8.482,107.1872,1949.572,2555.847,20111.358,12.8453,14.4194,53.5736,56.7374,20181.697,362.5394
India,2002,1097600.38,567873.061,529727.319,29128.217,9103.545,21.5655,1.758,-732.419,3.2169,63.6486,62.5154,64.8551,55.3095,13.7248,26.538,8.294,107.201,1873.519,2449.265,19292.253,12.9267,14.4973,53.7383,57.0237,20024.672,369.1659
India,2003,1116803.006,577829.968,538973.038,28794.442,9074.469,21.7746,1.711,-606.97,3.1216,64.0862,62.8822,65.3757,55.4923,13.7834,25.783,8.125,107.2094,1785.914,2332.104,19112.998,12.9893,14.5505,53.869,57.2676,19719.973,375.6245
India,2004,1135991.513,587765.467,548226.047,28537.736,9067.055,22.0027,1.696,-206.66,3.0464,64.4843,63.2206,65.8439,55.6506,13.8255,25.121,7.982,107.2122,1702.451,2219.552,19264.017,13.0388,14.584,53.9861,57.4745,19470.681,382.0783
India,2005,1154676.322,597426.194,557250.128,28063.0,9027.957,22.2442,1.568,-929.454,2.9584,64.9385,63.6083,66.3762,55.8421,13.8692,24.304,7.819,107.2097,1610.506,2093.819,18105.6,13.0906,14.6188,54.1315,57.72,19035.043,388.3628
India,2006,1172878.89,606815.988,566062.902,27637.61,8995.89,22.5014,1.56,-342.177,2.8674,65.3726,63.9887,66.8728,56.0234,13.9153,23.564,7.67,107.1994,1520.013,1970.158,18299.535,13.1452,14.6554,54.2798,57.9397,18641.72,394.485
India,2007,1190676.021,615977.569,574698.451,27304.621,8972.693,22.7729,1.453,-1037.2,2.7753,65.8034,64.3725,67.3577,56.2065,13.9733,22.932,7.536,107.1827,1437.012,1854.648,17294.727,13.2103,14.7052,54.4368,58.1519,18331.928,400.4709
India,2008,1207930.964,624851.766,583079.198,27186.093,8950.896,23.0541,1.425,-1020.047,2.7114,66.2471,64.7785,67.8437,56.4031,14.0536,22.506,7.41,107.1641,1364.812,1751.16,17215.159,13.2952,14.7797,54.6177,58.3649,18235.197,406.2744
India,2009,1225524.753,633887.203,591637.549,27219.669,8934.34,23.3423,1.467,-312.905,2.674,66.7001,65.2032,68.3269,56.6129,14.1594,22.211,7.29,107.1411,1302.171,1659.915,17972.42,13.4025,14.8825,54.8218,58.5784,18285.329,412.1919
India,2010,1243481.564,643098.086,600383.478,26900.711,8908.604,23.6407,1.443,-50.905,2.5985,67.1616,65.6444,68.809,56.8329,14.2847,21.633,7.164,107.1146,1228.819,1560.787,17941.202,13.5274,15.0065,55.0443,58.7918,17992.107,418.2314
India,2011,1261224.954,652190.186,609034.769,26681.991,8889.398,23.9493,1.391,-247.017,2.5322,67.6228,66.0941,69.2802,57.0574,14.4207,21.156,7.048,107.0859,1157.712,1465.55,17545.579,13.6627,15.1414,55.2805,58.9988,17792.593,424.1992
India,2012,1278674.502,661116.668,617557.834,26432.416,8879.958,24.2652,1.357,-198.935,2.4699,68.0763,66.5438,69.735,57.2795,14.5586,20.672,6.945,107.0534,1088.642,1373.273,17353.517,13.8012,15.2772,55.5221,59.1944,17552.458,430.0682
India,2013,1295829.511,669876.676,625952.834,25995.998,8888.129,24.5883,1.309,-151.372,2.3992,68.499,66.9697,70.1513,57.4863,14.687,20.061,6.859,107.0171,1017.494,1281.925,16956.499,13.9335,15.4009,55.7548,59.3683,17107.869,435.8381
India,2014,1312277.191,678266.11,634011.081,25050.538,8884.412,24.9252,1.215,-227.263,2.2935,68.9323,67.416,70.5671,57.6948,14.8051,19.089,6.77,106.9802,930.448,1172.69,15938.863,14.0605,15.5106,55.9988,59.5328,16166.126,441.3701
India,2015,1328024.498,686298.736,641725.761,25147.251,8936.423,25.2708,1.171,-655.085,2.2887,69.326,67.8267,70.9399,57.882,14.9053,18.936,6.729,106.9458,877.6,1098.966,15555.749,14.1731,15.5996,56.2235,59.6751,16210.828,446.6665
India,2016,1343944.296,694417.091,649527.205,25207.147,9004.533,25.6132,1.212,81.248,2.284,69.7091,68.2312,71.2975,58.0668,14.9947,18.756,6.7,106.9112,832.164,1034.488,16283.848,14.2771,15.676,56.4486,59.8124,16202.614,452.021
India,2017,1359657.4,702419.096,657238.304,24466.744,9072.751,25.9609,1.114,-251.642,2.1934,70.0676,68.6103,71.6324,58.2409,15.0725,17.995,6.673,106.8743,768.099,955.501,15142.36,14.3696,15.7411,56.6598,59.9442,15393.993,457.3059
India,2018,1374659.064,710050.158,664608.906,24620.205,9169.448,26.3131,1.081,-589.794,2.1843,70.4152,68.9732,71.9635,58.4137,15.1427,17.91,6.67,106.8373,727.372,899.927,14860.968,14.4526,15.801,56.8622,60.0837,15450.757,462.3516
India,2019,1389030.312,717351.064,671679.248,24124.983,9264.482,26.6678,0.999,-978.969,2.1203,70.7463,69.3121,72.2871,58.5844,15.2056,17.368,6.67,106.7996,677.733,837.527,13881.528,14.5253,15.857,57.0534,60.2324,14860.501,467.1852
India,2020,1402617.695,724175.468,678442.228,23485.339,10118.286,27.0239,0.948,-73.806,2.0468,70.1563,68.5289,71.938,57.8076,14.4804,16.744,7.214,106.7409,625.665,774.069,13293.239,13.5855,15.3694,56.088,59.6925,13367.053,471.7552
India,2021,1414203.896,729924.103,684279.793,23321.853,13093.785,27.3478,0.699,-348.916,2.0136,67.2823,65.8699,68.8345,54.6772,12.472,16.491,9.259,106.6704,587.418,724.075,9879.162,11.8566,13.0769,53.1923,56.3103,10228.068,475.652
India,2022,1425423.212,735531.456,689891.756,23286.125,9373.178,27.6842,0.881,-1353.478,1.9936,71.6984,70.2368,73.2706,59.1107,15.3828,16.336,6.576,106.6155,555.885,682.13,12559.471,14.7061,16.0351,57.5836,60.7548,13912.947,479.4255
India,2023,1438069.596,741883.264,696186.332,23219.489,9507.008,28.0598,0.885,-979.179,1.9754,72.0026,70.5225,73.5977,59.2878,15.4422,16.146,6.611,106.5639,525.425,642.598,12733.296,14.7612,16.102,57.7509,60.9451,13712.481,483.679
India,2024,1450935.791,748323.427,702612.364,23186.978,9557.05,28.4413,0.896,-630.83,1.9622,72.2353,70.729,73.8556,59.6131,15.7803,15.981,6.587,106.5059,524.88,654.575,12999.094,15.0573,16.4798,58.0466,61.2992,13629.928,488.0064
India,2025,1463865.525,754775.449,709090.076,23073.267,9717.146,28.8288,0.879,-495.753,1.9435,72.4848,70.954,74.1337,59.7735,15.8569,15.762,6.638,106.4428,501.052,625.084,12860.373,15.1212,16.5711,58.1961,61.4728,13356.121,492.3552
India,2026,1476625.576,761119.796,715505.781,22988.461,9888.274,29.216,0.857,-440.456,1.9293,72.7164,71.1618,74.393,59.9282,15.9334,15.568,6.697,106.3751,480.803,600.054,12659.731,15.1864,16.6608,58.3407,61.6399,13100.187,496.6469
India,2027,1489164.674,767329.679,721834.995,22878.818,10053.751,29.6028,0.834,-406.591,1.9153,72.9624,71.3833,74.6673,60.0922,16.0142,15.364,6.751,106.3026,459.212,573.408,12418.464,15.2542,16.7561,58.4934,61.8175,12825.067,500.8643
India,2028,1501432.739,773379.083,728053.656,22754.838,10242.53,29.9894,0.807,-394.653,1.9019,73.1772,71.5747,74.9093,60.2342,16.0815,15.155,6.822,106.2256,439.785,549.443,12117.667,15.309,16.8377,58.6239,61.9733,12512.308,504.9905
India,2029,1513423.731,779266.885,734156.846,22649.125,10414.149,30.3761,0.784,-370.655,1.8916,73.4089,71.7888,75.1611,60.3972,16.1772,14.965,6.881,106.1445,421.191,526.623,11864.316,15.3938,16.9453,58.7795,62.1451,12234.976,509.0236
India,2030,1525138.844,784994.167,740144.678,22550.562,10596.097,30.7629,0.758,-388.547,1.8832,73.6316,71.992,75.4059,60.5529,16.2681,14.786,6.948,106.0596,403.423,504.758,11565.911,15.4685,17.0535,58.9218,62.3163,11954.465,512.9638
India,2031,1536540.602,790542.762,745997.839,22409.976,10787.748,31.15,0.731,-384.638,1.8728,73.8422,72.1857,75.6356,60.7025,16.3551,14.585,7.021,105.9712,386.691,484.258,11237.603,15.5423,17.1544,59.0618,62.4771,11622.228,516.7987
India,2032,1547607.124,795905.282,751701.842,22237.608,10974.276,31.5397,0.704,-367.88,1.8609,74.062,72.3904,75.8724,60.8608,16.4478,14.369,7.091,105.8804,369.506,463.26,10895.443,15.621,17.2617,59.2103,62.6464,11263.332,520.5208
India,2033,1558324.08,801075.967,757248.113,22082.669,11167.946,31.9324,0.676,-376.26,1.852,74.2747,72.5896,76.0999,61.016,16.539,14.171,7.167,105.7878,353.737,443.837,10538.468,15.7002,17.3651,59.3582,62.8099,10914.723,524.1253
India,2034,1568688.353,806054.512,762633.842,21924.896,11360.374,32.3292,0.65,-374.443,1.8445,74.4932,72.7977,76.3296,61.1752,16.6325,13.977,7.242,105.6935,337.788,424.156,10190.078,15.7827,17.4698,59.5114,62.9756,10564.522,527.6112
India,2035,1578694.796,810840.25,767854.546,21759.073,11565.829,32.7264,0.622,-370.451,1.8379,74.6947,72.9909,76.5402,61.3254,16.7209,13.783,7.326,105.5982,323.761,406.803,9822.807,15.8612,17.568,59.6571,63.1306,10193.244,530.9768
India,2036,1588325.359,815424.39,772900.968,21569.206,11770.893,33.1232,0.594,-359.995,1.8303,74.9006,73.1878,76.7558,61.4779,16.8102,13.58,7.411,105.5018,309.174,388.814,9438.32,15.9389,17.6689,59.8032,63.2899,9798.313,534.2159
India,2037,1597537.007,819784.708,777752.299,21363.357,11993.787,33.5163,0.562,-384.581,1.8223,75.084,73.3621,76.9491,61.6159,16.8909,13.373,7.508,105.4043,296.414,373.048,8984.976,16.008,17.7611,59.9346,63.4352,9369.57,537.3141
India,2038,1606300.648,823908.193,782392.456,21140.946,12201.772,33.9062,0.532,-396.862,1.8136,75.2866,73.5599,77.1565,61.7695,16.9812,13.161,7.596,105.3063,282.837,356.28,8542.307,16.0899,17.8597,60.086,63.5908,8939.174,540.2617
India,2039,1614639.241,827809.822,786829.418,20934.177,12407.792,34.2929,0.504,-391.513,1.8069,75.4915,73.7609,77.365,61.9267,17.0742,12.965,7.685,105.2083,269.97,340.27,8134.877,16.1746,17.9607,60.2415,63.7493,8526.385,543.0663
India,2040,1622580.039,831504.712,791075.326,20758.827,12612.595,34.6749,0.477,-399.517,1.8036,75.6984,73.9656,77.5738,62.0865,17.169,12.794,7.773,105.1107,257.825,325.036,7746.72,16.2605,18.0643,60.3996,63.9102,8146.232,545.7371
India,2041,1630119.369,834991.246,795128.122,20545.376,12836.397,35.0516,0.45,-377.029,1.7976,75.8824,74.1476,77.7593,62.2298,17.2534,12.604,7.875,105.0134,246.911,311.41,7331.939,16.3357,18.1583,60.5407,64.0555,7708.979,548.2729
India,2042,1637235.357,838259.109,798976.248,20330.311,13052.626,35.4219,0.421,-377.652,1.7917,76.0747,74.339,77.9521,62.3801,17.3423,12.417,7.972,104.9166,235.826,297.599,6900.039,16.4151,18.2569,60.6891,64.2074,7277.685,550.6662
India,2043,1643915.269,841302.058,802613.211,20130.64,13269.024,35.787,0.393,-401.828,1.7875,76.265,74.5308,78.1399,62.5306,17.4315,12.246,8.072,104.8204,225.564,284.735,6459.785,16.4971,18.3536,60.8406,64.3561,6861.616,552.913
India,2044,1650186.612,844135.118,806051.494,19947.418,13482.208,36.1468,0.369,-382.311,1.7846,76.4583,74.7244,78.332,62.684,17.5225,12.088,8.17,104.7247,215.65,272.248,6082.9,16.5801,18.4529,60.9938,64.5088,6465.21,555.0223
India,2045,1656067.582,846769.145,809298.438,19749.716,13702.678,36.5033,0.343,-368.009,1.7801,76.6415,74.9101,78.5118,62.831,17.6098,11.926,8.274,104.63,206.529,260.8,5679.041,16.6596,18.5484,61.1415,64.6544,6047.038,557.0003
India,2046,1661548.391,849200.664,812347.728,19576.964,13912.596,36.8584,0.318,-381.779,1.7773,76.8318,75.106,78.695,62.9896,17.7024,11.782,8.373,104.5366,198.666,250.817,5282.577,16.7469,18.6467,61.3042,64.8077,5664.368,558.8437
India,2047,1666628.146,851430.318,815197.829,19391.409,14133.553,37.2139,0.293,-380.935,1.7725,77.0096,75.2901,78.8648,63.1386,17.7893,11.635,8.48,104.4446,191.407,241.629,4876.933,16.8297,18.7384,61.458,64.9504,5257.856,560.5522
India,2048,1671309.726,853458.921,817850.805,19231.386,14351.952,37.5677,0.268,-393.206,1.7692,77.1885,75.4742,79.0372,63.2893,17.8781,11.507,8.587,104.3539,184.572,232.937,4486.226,16.9133,18.8328,61.6122,65.0964,4879.434,562.1268
India,2049,1675619.894,855300.549,820319.345,19095.247,14566.176,37.9182,0.247,-394.954,1.7672,77.3713,75.6645,79.2109,63.4437,17.9689,11.396,8.693,104.2643,178.031,224.559,4134.111,17.0019,18.9263,61.7733,65.2425,4529.071,563.5765
India,2050,1679589.259,856972.023,822617.236,18961.897,14785.322,38.2631,0.227,-371.956,1.7645,77.548,75.849,79.3781,63.5937,18.0579,11.29,8.803,104.1763,171.946,216.803,3804.618,17.0877,19.019,61.9294,65.3852,4176.575,564.9115
India,2051,1683220.886,858474.85,824746.035,18837.731,14997.693,38.6032,0.205,-381.402,1.7618,77.7294,76.0391,79.5492,63.7491,18.1509,11.191,8.91,104.0896,166.139,209.389,3458.635,17.1779,19.1153,62.0917,65.5322,3840.038,566.133
India,2052,1686507.891,859805.973,826701.919,18698.883,15216.102,38.9381,0.185,-367.41,1.757,77.9057,76.2245,79.7147,63.9001,18.2412,11.087,9.022,104.0044,160.457,202.196,3115.377,17.2659,19.2085,62.2498,65.6747,3482.781,567.2385
India,2053,1689465.438,860974.895,828490.544,18582.962,15436.24,39.2664,0.166,-347.008,1.7537,78.0803,76.4125,79.8736,64.0505,18.3311,10.999,9.137,103.9209,155.185,195.482,2799.717,17.3566,19.2979,62.4115,65.8117,3146.722,568.2333
India,2054,1692068.272,861968.485,830099.787,18444.415,15660.996,39.5808,0.142,-377.466,1.7478,78.2476,76.5907,80.0284,64.1969,18.4208,10.901,9.256,103.8391,150.491,189.503,2405.95,17.4455,19.3888,62.5668,65.9479,2783.419,569.1087
India,2055,1694328.245,862793.27,831534.975,18344.901,15872.179,39.8823,0.125,-358.727,1.7452,78.4246,76.7815,80.1895,64.3532,18.5178,10.827,9.368,103.7591,146.121,183.851,2113.996,17.5435,19.4851,62.7346,66.0906,2472.722,569.8688
India,2056,1696276.842,863465.414,832811.428,18262.98,16085.066,40.1735,0.105,-394.714,1.7442,78.6019,76.9726,80.3507,64.5092,18.6144,10.767,9.483,103.6808,141.874,178.342,1783.198,17.6401,19.5821,62.9015,66.2337,2177.914,570.5242
India,2057,1697919.569,863989.5,833930.068,18161.536,16292.879,40.466,0.088,-366.406,1.7414,78.7825,77.1716,80.5101,64.6687,18.7138,10.696,9.596,103.6046,137.587,172.854,1502.255,17.7447,19.6765,63.0774,66.3743,1868.657,571.0767
India,2058,1699255.337,864366.372,834888.965,18045.403,16505.745,40.7538,0.069,-370.373,1.7374,78.9589,77.3631,80.6692,64.8247,18.8109,10.62,9.714,103.5307,133.356,167.481,1169.282,17.8427,19.7734,63.2455,66.5165,1539.658,571.526
India,2059,1700265.999,864586.108,835679.891,17931.044,16723.56,41.0319,0.05,-355.444,1.7341,79.1298,77.5512,80.8207,64.9769,18.9058,10.546,9.836,103.459,129.452,162.506,852.043,17.9415,19.8653,63.4125,66.6518,1207.484,571.8659
India,2060,1700951.714,864648.852,836302.862,17822.217,16939.03,41.3015,0.031,-363.801,1.7318,79.3011,77.7375,80.9747,65.1299,19.0022,10.478,9.959,103.3894,125.696,157.713,519.386,18.0401,19.9606,63.578,66.7904,883.187,572.0965
India,2061,1701283.707,864540.029,836743.678,17686.837,17149.328,41.5666,0.008,-392.908,1.7276,79.4743,77.9284,81.1278,65.2854,19.1011,10.396,10.08,103.322,121.927,152.939,144.6,18.1447,20.0549,63.7493,66.9279,537.509,572.2082
India,2062,1701273.211,864268.125,837005.086,17585.817,17363.384,41.823,-0.01,-388.026,1.7274,79.6447,78.1183,81.2762,65.4385,19.1981,10.337,10.206,103.2572,118.438,148.459,-165.593,18.2483,20.1462,63.9197,67.0615,222.433,572.2047
India,2063,1700949.862,863849.041,837100.821,17455.638,17570.633,42.0629,-0.028,-366.113,1.7249,79.8173,78.3101,81.4274,65.5943,19.298,10.262,10.33,103.1953,114.929,143.996,-481.104,18.3552,20.2402,64.0927,67.1979,-114.995,572.0959
India,2064,1700300.211,863274.528,837025.682,17344.433,17781.016,42.2906,-0.048,-381.611,1.7249,79.9862,78.4961,81.5773,65.7473,19.3958,10.201,10.458,103.136,111.701,139.847,-818.199,18.4583,20.334,64.2609,67.3339,-436.583,571.8774
India,2065,1699297.227,862529.904,836767.323,17209.71,18002.693,42.5127,-0.07,-394.789,1.7231,80.1454,78.6728,81.7171,65.8914,19.488,10.128,10.594,103.0788,108.523,135.814,-1187.769,18.5574,20.4207,64.421,67.4603,-792.983,571.5401
India,2066,1697969.498,861631.77,836337.728,17082.729,18195.101,42.7316,-0.086,-355.315,1.7227,80.3218,78.8696,81.8706,66.0516,19.592,10.061,10.716,103.0244,105.229,131.63,-1467.688,18.6692,20.5179,64.5996,67.5999,-1112.372,571.0935
India,2067,1696316.154,860580.418,835735.736,16937.44,18406.086,42.9481,-0.108,-370.351,1.7207,80.4837,79.052,82.0098,66.1987,19.6868,9.985,10.851,102.9728,102.101,127.678,-1839.0,18.7718,20.6059,64.7651,67.7267,-1468.646,570.5374
India,2068,1694295.58,859354.13,834941.449,16791.47,18609.027,43.1624,-0.13,-384.594,1.7191,80.6477,79.2364,82.1514,66.3481,19.7833,9.911,10.983,102.9239,99.001,123.759,-2202.149,18.8765,20.6953,64.9327,67.8557,-1817.557,569.8578
India,2069,1691921.452,857960.73,833960.723,16632.918,18801.419,43.3741,-0.15,-377.612,1.7165,80.8143,79.424,82.2946,66.5003,19.8821,9.831,11.112,102.8778,95.977,119.923,-2546.106,18.9837,20.7867,65.1041,67.9868,-2168.501,569.0593
India,2070,1689202.539,856403.701,832798.838,16498.187,19004.294,43.5826,-0.171,-385.599,1.7165,80.9687,79.5975,82.4282,66.6419,19.9746,9.767,11.25,102.8344,93.272,116.481,-2891.719,19.0842,20.8725,65.2629,68.1094,-2506.107,568.1448
India,2071,1686157.65,854691.708,831465.942,16371.144,19189.709,43.7874,-0.19,-379.498,1.7174,81.1313,79.7781,82.571,66.7907,20.0721,9.709,11.381,102.7934,90.541,112.986,-3198.06,19.1884,20.9643,65.4281,68.2403,-2818.565,567.1207
India,2072,1682786.825,852825.908,829960.917,16213.598,19377.524,43.9887,-0.211,-379.666,1.715,81.2876,79.955,82.7047,66.9341,20.1654,9.635,11.515,102.7549,87.848,109.569,-3543.59,19.2903,21.05,65.5904,68.3629,-3163.926,565.987
India,2073,1679105.606,850814.059,828291.547,16075.982,19526.396,44.1864,-0.227,-368.429,1.7145,81.4583,80.1442,82.8549,67.0922,20.2723,9.574,11.629,102.7192,85.302,106.315,-3818.847,19.4049,21.1503,65.7654,68.5022,-3450.414,564.7488
India,2074,1675136.968,848669.404,826467.564,15942.145,19692.012,44.3806,-0.246,-368.561,1.7142,81.6145,80.3217,82.9876,67.237,20.3695,9.517,11.755,102.6864,83.013,103.372,-4118.431,19.513,21.2374,65.9305,68.6248,-3749.867,563.414
India,2075,1670860.308,846380.74,824479.567,15794.91,19855.673,44.5715,-0.265,-374.129,1.7121,81.7656,80.4902,83.1197,67.3772,20.4642,9.453,11.884,102.6564,80.751,100.499,-4434.889,19.6153,21.3256,66.0868,68.7474,-4060.763,561.9756
India,2076,1666299.927,843958.38,822341.547,15672.62,19997.581,44.759,-0.281,-360.915,1.7123,81.9228,80.6667,83.2558,67.5239,20.5638,9.406,12.001,102.6287,78.659,97.799,-4685.873,19.7232,21.4176,66.2513,68.8745,-4324.961,560.4418
India,2077,1661484.93,841418.79,820066.14,15555.657,20135.569,44.9426,-0.298,-364.203,1.7126,82.0789,80.8428,83.3899,67.6689,20.6621,9.363,12.119,102.6038,76.572,95.113,-4944.119,19.8314,21.5069,66.4151,68.999,-4579.912,558.8223
India,2078,1656416.56,838762.398,817654.162,15417.3,20269.332,45.1212,-0.313,-340.593,1.7101,82.2295,81.0114,83.5209,67.8096,20.7577,9.308,12.237,102.5816,74.581,92.571,-5192.623,19.9358,21.5946,66.5727,69.1211,-4852.032,557.1176
India,2079,1651101.286,835990.324,815110.961,15291.998,20380.09,45.2951,-0.329,-349.831,1.7084,82.3871,81.1869,83.6588,67.9567,20.8585,9.262,12.343,102.5615,72.588,90.027,-5437.924,20.0442,21.6886,66.7367,69.2499,-5088.092,555.3299
India,2080,1645548.761,833107.258,812441.502,15183.297,20494.5,45.4645,-0.344,-355.938,1.7081,82.5367,81.355,83.7883,68.0966,20.9541,9.227,12.455,102.5437,70.78,87.699,-5667.127,20.1494,21.7752,66.8944,69.3703,-5311.203,553.4624
India,2081,1639778.18,830122.734,809655.446,15050.318,20582.815,45.6296,-0.358,-341.529,1.7047,82.694,81.5282,83.9282,68.2439,21.0559,9.178,12.552,102.5279,68.869,85.275,-5874.034,20.258,21.8708,67.0564,69.5014,-5532.497,551.5215
India,2082,1633817.741,827049.598,806768.143,14956.248,20672.746,45.7898,-0.37,-330.348,1.7051,82.8445,81.6948,84.0613,68.3849,21.1529,9.154,12.653,102.5139,67.182,83.098,-6046.844,20.3625,21.961,67.2128,69.6257,-5716.498,549.5168
India,2083,1627669.471,823889.528,803779.943,14847.157,20750.772,45.9448,-0.384,-346.084,1.7035,82.9955,81.8642,84.1922,68.5264,21.2502,9.122,12.749,102.5019,65.489,80.93,-6249.696,20.4689,22.0496,67.3719,69.7479,-5903.615,547.4489
India,2084,1621344.018,820647.897,800696.12,14749.151,20818.681,46.094,-0.395,-331.679,1.7029,83.1419,82.027,84.3206,68.6643,21.3462,9.097,12.84,102.4918,63.976,78.988,-6401.211,20.5725,22.1384,67.5253,69.8688,-6069.53,545.3214
India,2085,1614843.929,817324.029,797519.9,14649.41,20894.03,46.2367,-0.409,-354.346,1.7018,83.2803,82.18,84.4432,68.7941,21.4359,9.072,12.939,102.4832,62.46,77.06,-6598.966,20.6697,22.2212,67.6692,69.9834,-6244.62,543.1351
India,2086,1608173.606,813917.538,794256.069,14564.53,20947.622,46.373,-0.419,-358.59,1.7024,83.4199,82.3325,84.5688,68.9259,21.5275,9.057,13.026,102.4755,61.131,75.339,-6741.68,20.7661,22.3085,67.8133,70.1019,-6383.092,540.8916
India,2087,1601390.982,810457.588,790933.393,14478.8,20992.632,46.5028,-0.426,-309.735,1.7028,83.5578,82.4833,84.6926,69.0561,21.6183,9.041,13.109,102.4685,59.819,73.655,-6823.569,20.8621,22.3945,67.9556,70.2187,-6513.832,538.6104
India,2088,1594493.06,806944.529,787548.531,14388.654,21026.113,46.6269,-0.437,-334.815,1.7025,83.6967,82.6367,84.8156,69.1869,21.7095,9.024,13.187,102.4628,58.464,71.93,-6972.273,20.9608,22.4784,68.1007,70.334,-6637.459,536.2903
India,2089,1587459.178,803365.525,784093.654,14299.522,21060.119,46.7453,-0.447,-334.893,1.7024,83.8259,82.7758,84.9342,69.3091,21.7948,9.008,13.267,102.4579,57.249,70.377,-7095.491,21.0492,22.5609,68.2323,70.4461,-6760.597,533.9246
India,2090,1580305.096,799728.76,780576.337,14200.394,21057.385,46.8578,-0.456,-355.671,1.7013,83.9678,82.9312,85.0611,69.4433,21.8903,8.986,13.325,102.4536,55.937,68.718,-7212.673,21.1515,22.6495,68.3798,70.5657,-6856.991,531.5184
India,2091,1573053.552,796046.088,777007.464,14110.744,21049.719,46.9651,-0.463,-351.45,1.7015,84.1026,83.0767,85.1842,69.5715,21.9823,8.97,13.381,102.4502,54.784,67.248,-7290.417,21.2472,22.7379,68.518,70.6828,-6938.975,529.0794
India,2092,1565745.949,792337.473,773408.475,14011.573,21023.391,47.0676,-0.468,-312.978,1.7007,84.2434,83.2292,85.3121,69.7051,22.0783,8.949,13.427,102.4475,53.546,65.681,-7324.788,21.3483,22.8289,68.663,70.8037,-7011.818,526.6216
India,2093,1558360.38,788591.76,769768.62,13891.195,20990.202,47.166,-0.478,-347.328,1.6974,84.3801,83.377,85.4364,69.8351,22.1722,8.914,13.469,102.4453,52.324,64.151,-7446.35,21.4461,22.9188,68.8036,70.9221,-7099.007,524.1375
India,2094,1550887.932,784804.331,766083.601,13787.845,20950.714,47.2611,-0.484,-335.68,1.6965,84.5164,83.5257,85.5592,69.9647,22.2655,8.89,13.509,102.4437,51.127,62.64,-7498.546,21.5449,23.0062,68.9451,71.0384,-7162.869,521.6242
